Log_ID                               ,Order_ID    ,Trang_Thai   ,Thoi_Gian                  ,Mo_Ta
dd544f8f-8693-4f9d-a611-600bcb6c4cab ,HCM26970493 ,Mới tạo      ,2025-11-30 06:07:04.304538 ,Shop tạo đơn tại TP.HCM
f5f28a1f-c2d8-4777-a717-4506a1189110 ,HCM26970493 ,Đã điều phối ,2025-11-30 06:37:04.304538 ,Gán cho Shipper SHP_010
2af332d4-f940-43ff-8525-91d7cc6323cf ,HCM26970493 ,Đang giao    ,2025-11-30 08:37:04.304538 ,Shipper đã lấy hàng
41f5e681-a788-4ab6-93c5-e048e738f922 ,HCM26970493 ,Đang giao    ,2025-11-30 23:37:04.304538 ,Giao thất bại/Hoàn trả
86696fda-3eb2-4f5c-a94f-3380d415a95d ,HCM29803366 ,Mới tạo      ,2025-11-30 16:41:27.819973 ,Shop tạo đơn tại TP.HCM
0e52e62e-c7cd-480b-bb74-29d6416c41e6 ,HCM29803366 ,Đã điều phối ,2025-11-30 17:11:27.819973 ,Gán cho Shipper SHP_006
79e7602d-9cbd-4cd7-87eb-9f04a97a84ef ,HCM29803366 ,Đang giao    ,2025-11-30 19:11:27.819973 ,Shipper đã lấy hàng
1d9359a9-c697-4b25-a126-541974da888b ,HCM29803366 ,Đang giao    ,2025-12-01 08:11:27.819973 ,Giao thất bại/Hoàn trả
d7d87cce-760c-4865-b84a-bc6909319b76 ,HCM84855385 ,Mới tạo      ,2025-11-22 11:09:35.172235 ,Shop tạo đơn tại TP.HCM
f5b33403-e026-4530-a1d3-1062ab14ba78 ,HCM84855385 ,Đã điều phối ,2025-11-22 11:39:35.172235 ,Gán cho Shipper SHP_001
d04be2f2-a1e1-4566-9359-e0cdc0cbd5db ,HCM84855385 ,Đang giao    ,2025-11-22 13:39:35.172235 ,Shipper đã lấy hàng
21c3d723-1ba1-4a2a-ac1f-3a8824c742ee ,HCM84855385 ,Hoàn trả     ,2025-11-23 02:39:35.172235 ,Giao thất bại/Hoàn trả
086d78f1-4b63-48e0-bd74-ce48d4565d95 ,HCM43295261 ,Mới tạo      ,2025-12-02 09:40:09.244113 ,Shop tạo đơn tại TP.HCM
28d33120-b529-4b61-ac6e-1b2919b8bfbc ,HCM47198075 ,Mới tạo      ,2025-11-28 12:48:12.393123 ,Shop tạo đơn tại TP.HCM
ef5d71aa-cc22-4e5c-a444-9745e14e81f6 ,HCM47198075 ,Đã điều phối ,2025-11-28 13:18:12.393123 ,Gán cho Shipper SHP_009
90d35ca0-ca0a-4ed4-aa58-562115ba92cc ,HCM47198075 ,Đang giao    ,2025-11-28 15:18:12.393123 ,Shipper đã lấy hàng
08805550-1888-449c-8cc4-a9f03233b0ad ,HCM47198075 ,Hoàn trả     ,2025-11-29 14:18:12.393123 ,Giao thất bại/Hoàn trả
5f9b3596-dbc5-4a48-80d9-6f2d13223af5 ,HCM12507531 ,Mới tạo      ,2025-11-16 11:05:45.484437 ,Shop tạo đơn tại TP.HCM
bae73be9-3ca6-42cb-abb3-0232206fd49c ,HCM12507531 ,Đã điều phối ,2025-11-16 11:35:45.484437 ,Gán cho Shipper SHP_015
a907d8de-d0c9-49e5-88ae-1e84148dedcf ,HCM12507531 ,Đang giao    ,2025-11-16 13:35:45.484437 ,Shipper đã lấy hàng
ae53686a-5349-4214-ae95-7e949e9b85f6 ,HCM12507531 ,Đang giao    ,2025-11-17 03:35:45.484437 ,Giao thất bại/Hoàn trả
f42fce46-e986-4d79-a7c0-1096b1ac676a ,HCM23836763 ,Mới tạo      ,2025-11-27 22:41:23.986371 ,Shop tạo đơn tại TP.HCM
6e7f1d5a-69c8-4f1d-a876-5a912774b35a ,HCM23836763 ,Đã điều phối ,2025-11-27 23:11:23.986371 ,Gán cho Shipper SHP_008
c3c5b238-c5e2-47db-8478-4298c513bbab ,HCM23836763 ,Đang giao    ,2025-11-28 01:11:23.986371 ,Shipper đã lấy hàng
af4250ad-ce8e-42dd-aea6-73358d8cb3de ,HCM23836763 ,Đang lấy     ,2025-11-28 06:11:23.986371 ,Giao thất bại/Hoàn trả
b2dc848a-bb4b-4130-ba20-6271675777bc ,HCM61556694 ,Mới tạo      ,2025-11-10 09:57:33.777883 ,Shop tạo đơn tại TP.HCM
362fc2b1-6913-4e6f-ab72-28ea2932acee ,HCM61556694 ,Đã điều phối ,2025-11-10 10:27:33.777883 ,Gán cho Shipper SHP_010
9cfb2a17-e260-41d3-9452-f7102d054402 ,HCM61556694 ,Đang giao    ,2025-11-10 12:27:33.777883 ,Shipper đã lấy hàng
a63dc1a9-071b-47b1-8c9c-372f1ac79a06 ,HCM61556694 ,Đang giao    ,2025-11-10 17:27:33.777883 ,Giao thất bại/Hoàn trả
a725fdcb-f925-4971-b358-c8b70bfb3f82 ,HCM39726712 ,Mới tạo      ,2025-11-27 09:19:16.357230 ,Shop tạo đơn tại TP.HCM
afc630c1-51d0-4abd-b356-e3ffd2f2ca11 ,HCM39726712 ,Đã điều phối ,2025-11-27 09:49:16.357230 ,Gán cho Shipper SHP_011
47f7eae2-d85a-4a17-a268-f41d41c02431 ,HCM39726712 ,Đang giao    ,2025-11-27 11:49:16.357230 ,Shipper đã lấy hàng
348b70ae-6a8c-4f6e-9426-30c63751711a ,HCM39726712 ,Đang giao    ,2025-11-28 05:49:16.357230 ,Giao thất bại/Hoàn trả
479f65e4-a5c8-4cd3-b852-86d2a1ee3652 ,HCM59859880 ,Mới tạo      ,2025-11-14 19:08:45.857222 ,Shop tạo đơn tại TP.HCM
74ede3b5-b8aa-4b59-8c31-e858d366a02e ,HCM93902865 ,Mới tạo      ,2025-11-15 16:02:33.826636 ,Shop tạo đơn tại TP.HCM
5c265970-4d72-4306-828a-812ca0b29441 ,HCM93902865 ,Đã điều phối ,2025-11-15 16:32:33.826636 ,Gán cho Shipper SHP_009
51dbd62f-3150-49e9-9f3c-01c9c19a1df8 ,HCM93902865 ,Đang giao    ,2025-11-15 18:32:33.826636 ,Shipper đã lấy hàng
73a21891-88b5-43ec-a061-4fb7a24d9d19 ,HCM93902865 ,Đang giao    ,2025-11-16 10:32:33.826636 ,Giao thất bại/Hoàn trả
87ffd62e-e521-41eb-a2c0-4efa946e1a6f ,HCM50550608 ,Mới tạo      ,2025-12-06 04:07:22.019042 ,Shop tạo đơn tại TP.HCM
ab125545-de15-4adf-9496-17c7c2e6e011 ,HCM50550608 ,Đã điều phối ,2025-12-06 04:37:22.019042 ,Gán cho Shipper SHP_001
3f745003-cbc4-46d0-a344-bd1cafd835fb ,HCM50550608 ,Đang giao    ,2025-12-06 06:37:22.019042 ,Shipper đã lấy hàng
e71b3a93-3643-4564-9143-84fcf5033562 ,HCM50550608 ,Đang lấy     ,2025-12-06 21:37:22.019042 ,Giao thất bại/Hoàn trả
55597291-cd22-4ebf-9a34-fc4a45f05730 ,HCM98898218 ,Mới tạo      ,2025-11-09 19:48:59.664586 ,Shop tạo đơn tại TP.HCM
d320c38d-053c-47d4-b0e2-9c10f76309ef ,HCM98898218 ,Đã điều phối ,2025-11-09 20:18:59.664586 ,Gán cho Shipper SHP_005
75543783-1736-4416-a062-6a05f30b8afb ,HCM98898218 ,Đang giao    ,2025-11-09 22:18:59.664586 ,Shipper đã lấy hàng
63d192b7-7a22-4288-8aa0-582141038154 ,HCM98898218 ,Đang lấy     ,2025-11-10 08:18:59.664586 ,Giao thất bại/Hoàn trả
1f295e33-143c-400a-96d9-1fbbfed779bf ,HCM95593413 ,Mới tạo      ,2025-12-08 03:02:39.330015 ,Shop tạo đơn tại TP.HCM
03a04f75-9dea-45d2-9a30-95c645092e4d ,HCM95593413 ,Đã điều phối ,2025-12-08 03:32:39.330015 ,Gán cho Shipper SHP_003
8192dda4-504a-4042-89bf-ec390d9c11aa ,HCM95593413 ,Đang giao    ,2025-12-08 05:32:39.330015 ,Shipper đã lấy hàng
5a7e3b42-bfef-4fd2-8835-dafef497b8c0 ,HCM95593413 ,Đang giao    ,2025-12-09 03:32:39.330015 ,Giao thất bại/Hoàn trả
c47b081a-4dc3-4364-950c-4c06a77e71f6 ,HCM76659631 ,Mới tạo      ,2025-12-04 13:00:21.080156 ,Shop tạo đơn tại TP.HCM
ae5279b6-e0cd-4850-ab9c-6b6b61626785 ,HCM76659631 ,Đã điều phối ,2025-12-04 13:30:21.080156 ,Gán cho Shipper SHP_007
b76a9fd6-c6f9-4bd7-bd6d-a267ed84481c ,HCM76659631 ,Đang giao    ,2025-12-04 15:30:21.080156 ,Shipper đã lấy hàng
18a1a0b0-6811-4dd6-a07b-981c84e7428e ,HCM76659631 ,Đang giao    ,2025-12-05 11:30:21.080156 ,Giao thất bại/Hoàn trả
80939c8c-0422-4d3d-b1a3-a310e171238a ,HCM5934723  ,Mới tạo      ,2025-11-27 17:32:40.000703 ,Shop tạo đơn tại TP.HCM
c4f0de55-6d79-46b8-bcad-f1eda44918e7 ,HCM5934723  ,Đã điều phối ,2025-11-27 18:02:40.000703 ,Gán cho Shipper SHP_001
5f871172-2301-4a5e-96c1-a62af092ee83 ,HCM5934723  ,Đang giao    ,2025-11-27 20:02:40.000703 ,Shipper đã lấy hàng
